idiom	meaning	example	origin	used_at	pronunciation_audio	tags	slugs
That sucks	["%20An%20expression%20of%20sympathy.%20","%20Said%20of%20something%20that%20the%20speaker%20rates%20very%20lowly."]	["%20I%20heard%20that%20your%20child%20has%20leukaemia.%20That%20sucks%20-%20I%27m%20so%20sorry.%20","%20His%20singing%20is%20out%20of%20tune%20and%20he%20just%20can%27t%20dance.%20The%20whole%20performance%20sucks."]	USA	Mostly USA, bit spreading Worldwide in recent years.	https://www.phrases.org.uk/idioms/audio/that-sucks.mp3	disgust,sympathy,slang,america	that sucks
The acid test	["%20A%20scientific%20test%20to%20distinguish%20between%20gold%20and%20base%20metals.%20","%20A%20conclusive%20test%20to%20determine%20the%20validity%20of%20a%20claim."]	["%20We%20found%20a%20mineral%20that%20looked%20valuable%20but%20it%20might%20be%20fools%20gold%20-%20we%20need%20to%20give%20it%20the%20acid%20test.%20","%20The%20acid%20test%20of%20the%20quality%20of%20a%20singer%20is%20to%20ask%20them%20to%20sing%20unaccompanied."]	USA, mid-19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/the-acid-test.mp3	science,america	the acid test
The apple of my eye	["Someone%20who%20is%20cherished%20above%20all%20others."]	["She%27s%20my%20only%20child%20-%20the%20apple%20of%20my%20eye."]	Britain, 9th century - making it one of the oldest phrases in the language that is still in regular use in its original form.	Worldwide.	https://www.phrases.org.uk/idioms/audio/the-apple-of-my-eye.mp3	food,fruit,the_human_body,cliche	the apple of my eye
The author of your own misfortune	["Be%20to%20blame%20for%20one%27s%20own%20problems."]	["Tommy%20just%20took%20off%20across%20the%20moors%20with%20no%20gear%20and%20no%20phone.%20He%20ended%20up%20in%20hospital%20but%20no%20one%20is%20too%20sorry%20for%20him%20-%20he%20was%20the%20author%20of%20his%20own%20misfortune."]		Worldwide, but rather old-fashioned.	https://www.phrases.org.uk/idioms/audio/the-author-of-your-own-misfortune.mp3	misfortune,failure	the author of your own misfortune
the back of beyond | the back of the beyond	["You%20can%20say%20a%20place%20is%20in%20the%20back%20of%20beyond%2C%20or%20the%20back%20of%20the%20beyond%2C%20if%20it%27s%20very%20far%20from%20towns%20or%20cities.",""]	["Why%20do%20you%20want%20to%20live%20way%20out%20in%20the%20desert%3F%20It%27s%20in%20the%20back%20of%20beyond.","Ivan%20went%20to%20visit%20his%20cousins%20in%20a%20tiny%20village%20in%20the%20back%20of%20the%20beyond.%20It%20took%20him%20a%20long%20time%20to%20get%20there."]				b	the back of beyond,the back of the beyond
the ball's in your court	["If%20someone%20you%27re%20negotiating%20with%20says%20%22the%20ball%27s%20in%20your%20court%22%2C%20they%20think%20it%27s%20your%20turn%20to%20make%20a%20move%20or%20make%20an%20offer.",""]	["We%27ve%20offered%20him%20ten%20thousand%20dollars%20a%20month%2C%20so%20the%20ball%27s%20in%20his%20court%20now.","They%20know%20our%20position%2C%20so%20the%20ball%27s%20in%20their%20court.%20If%20they%20want%20to%20pursue%20the%20matter%2C%20they%27ll%20have%20to%20make%20the%20next%20move."]	Metaphorical, from sports such as tennis and badminton in which players take turns to hit a ball over a net into each other's end of the court.			b,sports	the ball's in your court
The ball is in your court	["It%20is%20your%20turn%20to%20make%20a%20decision."]	["I%27ve%20done%20more%20than%20my%20share%20in%20this%20partnership.%20The%20ball%20is%20in%20your%20court%20to%20decide%20what%20happens%20next."]	Britain, mid-20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/the-ball-is-in-your-court.mp3	sport	the ball is in your court
The best of both worlds	["The%20benefits%20available%20from%20two%20apparently%20conflicting%20options."]	["I%20went%20on%20a%20sailing%20holiday%20and%20got%20to%20stay%20in%20a%20cosy%20beachside%20villa%20each%20night.%20It%20seemed%20like%20the%20best%20of%20both%20worlds."]	Britain, 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/the-best-of-both-worlds.mp3	excellence	the best of both worlds
The best thing since sliced bread	["An%20outstandingly%20good%20idea%20or%20plan."]	["Some%20people%20hate%20iPhones%20Apple%20fanboys%20think%20they%20are%20the%20best%20thing%20since%20sliced%20bread."]	Britain, 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/the-best-thing-since-sliced-bread.mp3	food,excellence	the best thing since sliced bread
The Big Pond	["Nickname%20of%20the%20Atlantic%20Ocean%20between%20the%20UK%20and%20the%20USA."]	["London%27s%20getting%20boring%20-%20I%27m%20planning%20to%20hop%20the%20big%20pond%20and%20have%20a%20weekend%20in%20New%20York."]	USA, 1840s. Previously called, in both UK and USA as 'The Great Pond'.	Mostly USA and Britain.	https://www.phrases.org.uk/idioms/audio/the-big-pond.mp3	location,nature,america	the big pond
The bull in the bowler hat	["Jokey%20term%20for%20artificial%20insemination."]	["Leaving%20things%20to%20nature%20hasn%27t%20worked%20down%20here%20on%20the%20farm%20-%20only%20","%25%20of%20the%20cows%20are%20pregnant.%20We%20need%20a%20visit%20from%20the%20bull%20in%20the%20bowler%20hat."]		Mostly Britain.	https://www.phrases.org.uk/idioms/audio/the-bull-in-the-bowler-hat.mp3	animals,sex,clothes,euphemism	the bull in the bowler hat
the cream of the crop	["If%20something%20or%20someone%20is%20in%20the%20cream%20of%20the%20crop%2C%20they%20are%20among%20the%20best%20of%20a%20class%20of%20things%20or%20people.",""]	["The%20cream%20of%20the%20crop%20of%20this%20year%27s%20high-school%20graduates%20will%20get%20into%20the%20best%20universities%2C%20as%20usual.","We%27re%20only%20interested%20in%20the%20cream%20of%20the%20crop%2C%20so%20don%27t%20send%20us%20any%20second-rate%20samples."]				c,food,plants	the cream of the crop
the die is cast	["We%20can%20say%20the%20die%20is%20cast%20after%20a%20decision%20has%20been%20made%20that%20will%20strongly%20affect%20a%20situation%2C%20and%20it%20can%27t%20be%20reversed.",""]	["As%20soon%20as%20he%20pulled%20out%20his%20gun%2C%20the%20die%20was%20cast%20and%20he%20was%20sure%20to%20be%20killed%20by%20the%20police.","Bill%20knew%20the%20die%20was%20cast%20the%20first%20time%20he%20took%20the%20drug.%20He%20was%20going%20to%20be%20an%20addict."]	Probably metaphorical, from the fact that when a die (singular form of "dice") is cast (or thrown) during a board game, the resulting move on the board cannot be reversed.			d	the die is cast
The empty chair	["The%20perceived%20absense%20of%20someone%20who%20is%20recently%20deceased."]	["Some%20days%20I%20can%20forget%20about%20Jim%27s%20death%20for%20a%20while%2C%20then%20I%20see%20the%20empty%20chair%20and%20the%20grief%20comes%20back."]		Worldwide.	https://www.phrases.org.uk/idioms/audio/the-empty-chair.mp3	death,household_items	the empty chair
The fog of war	["Confusion%20caused%20by%20the%20chaos%20of%20battle."]	["After%20the%20bombing%20raid%20we%20had%20no%20idea%20where%20the%20enemy%20were%20of%20what%20was%20going%20to%20happen%20next%20-%20that%27s%20to%20be%20expected%20in%20the%20fog%20of%20war."]		Worldwide.	https://www.phrases.org.uk/idioms/audio/the-fog-of-war.mp3	nature	the fog of war
the gift of the gab | the gift of gab	["If%20you%27ve%20got%20the%20gift%20of%20the%20gab%2C%20or%20the%20gift%20of%20gab%2C%20you%20have%20the%20natural%20ability%20to%20talk%20in%20a%20way%20that%20people%20find%20entertaining%20or%20persuasive.",""]	["All%20good%20salespeople%20have%20the%20gift%20of%20the%20gab%2C%20so%20people%20trust%20them%20and%20believe%20whatever%20they%20say.","If%20you%20want%20to%20be%20a%20politician%2C%20you%27ll%20do%20much%20better%20if%20you%20were%20born%20with%20the%20gift%20of%20gab."]				body,g	the gift of the gab,the gift of gab
The glorious twelfth	["The%2020th%20of%20August%20-%20the%20start%20of%20the%20British%20grouse%20shooting%20season."]	["Just%20two%20weeks%20to%20go.%20I%27ve%20booked%20all%20the%20beaters%20and%20the%20trip%20to%20the%20grouse%20moor%20is%20all%20set%20-%20bring%20on%20the%20glorious%20twelfth."]		Britain.	https://www.phrases.org.uk/idioms/audio/the-glorious-twelfth.mp3	animals,number,date,excellence	the glorious twelfth
The God Squad	["enthusiastic%20Christian%20believers."]	["Every%20friday%20we%20the%20doorbell%20goes%20and%20it%27s%20the%20Jehovah%27s%20Witnesses%20or%20some%20other%20god%20squad%20folks."]	USA, 1960s	Worldwide.	https://www.phrases.org.uk/idioms/audio/the-god-squad.mp3	religion,america	the god squad
The heebie-jeebies	["A%20state%20of%20nervous%20anxiety%20or%20fear."]	["I%20didn%27t%20like%20staying%20in%20that%20old%20house%20overnight.%20The%20creaks%20and%20bumps%20gave%20me%20the%20heebie-jeebies."]	USA, 20th century. The origin isn't known but heebie-jeebie was formerly the name of a dance.	Worldwide.	https://www.phrases.org.uk/idioms/audio/the-heebie-jeebies.mp3	medical,reduplication,dance,america	the heebie
The icing on the cake	["Something%20that%20makes%20a%20good%20situation%20even%20better."]	["Winning%20the%20race%20was%20great.%20Getting%20a%20medal%20and%20a%20prize%20was%20the%20icing%20on%20the%20cake."]	USA, late 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/the-icing-on-the-cake.mp3	food,excellence,america	the icing on the cake
the icing on the cake | the frosting on the cak	["If%20something%20is%20the%20icing%20on%20the%20cake%2C%20or%20the%20frosting%20on%20the%20cake%2C%20it%20makes%20a%20good%20situation%20or%20a%20good%20result%20even%20better.",""]	["The%20fifty%20thousand%20dollars%20the%20government%20will%20give%20to%20every%20athlete%20who%20wins%20a%20gold%20medal%20in%20the%20Olympics%20will%20be%20the%20icing%20on%20the%20cake%20for%20them.","I%20was%20happy%20just%20to%20get%20my%20book%20published%2C%20so%20winning%20the%20young%20writer%27s%20prize%20as%20well%20is%20the%20frosting%20on%20the%20cake."]				food,i	the icing on the cake,the frosting on the cak
the ins and outs	["If%20you%20know%20the%20ins%20and%20outs%20of%20something%2C%20you%20know%20all%20the%20details%20about%20it%20and%20understand%20how%20it%20works.",""]	["Louis%20knows%20how%20to%20drive%20a%20car%2C%20but%20he%20knows%20nothing%20about%20the%20ins%20and%20outs%20of%20how%20they%20work.","It%20seems%20that%20Yoko%20and%20Sato%20are%20having%20problems%2C%20though%20I%20don%27t%20really%20understand%20the%20ins%20and%20outs%20of%20their%20relationship."]				i	the ins and outs
the jewel in the crown	["If%20something%20is%20the%20jewel%20in%20the%20crown%2C%20it%27s%20part%20of%20a%20group%20or%20set%20of%20similar%20things%2C%20and%20it%27s%20the%20best%20of%20them%20all.",""]	["Sydney%27s%20Opera%20House%20is%20the%20jewel%20in%20the%20crown%20of%20modern%20Australian%20architecture.","Dudley%20has%20many%20companies%2C%20but%20he%20regards%20his%20cable%20TV%20channel%20%22World%20of%20the%20Arts%22%20as%20the%20jewel%20in%20the%20crown%20of%20his%20business%20empire."]	Probably related to the fact that the most valuable part of many crowns is a large jewel.			clothing,j	the jewel in the crown
the jury is still out	["We%20can%20say%20the%20jury%20is%20still%20out%20when%20a%20decision%20still%20hasn%27t%20been%20made%20about%20something.",""]	["It%20was%20a%20terrible%20mistake%2C%20and%20the%20jury%27s%20still%20out%20on%20whether%20Bob%20will%20lose%20his%20job%20over%20it%2C%20or%20not.","The%20jury%27s%20still%20out%20on%20who%27s%20going%20to%20be%20the%20new%20CEO%2C%20but%20we%20should%20find%20out%20soon."]	Metaphorical, and based on the fact that in many legal trials, the result of the trial isn't known until a jury has finished discussing the case and making a decision. Until then, we say that "the jury is still out".			j,law	the jury is still out
The last straw	["The%20last%20of%20a%20series%20of%20problems%2C%20which%20pushes%20one%27s%20endurance%20beyond%20its%20limits.","Something%20is%20the%20last%20straw%20if%20it%27s%20the%20latest%20in%20a%20series%20of%20annoying%20or%20upsetting%20events%2C%20and%20it%27s%20the%20one%20that%20finally%20makes%20you%20do%20something%20about%20the%20situation."]	["I%27ve%20put%20up%20with%20his%20taunting%20for%20years%20but%20picking%20on%20my%20daughter%20was%20the%20last%20straw%20and%20I%20punched%20him.","I%20was%20already%20close%20to%20resigning%2C%20but%20the%20last%20straw%20was%20being%20bossed%20around%20by%20some%20kid%20twenty%20years%20younger%20than%20me.%20After%20that%2C%20I%20quit%20the%20job.","I%20saw%20my%20girlfriend%20flirting%20with%20another%20guy%20at%20the%20party%2C%20and%20that%20was%20the%20last%20straw.%20I%20told%20her%20our%20relationship%20was%20over%20and%20I%20left."]	Britain, early 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/the-last-straw.mp3	biblical,l	the last straw
the lion's share	["You%20can%20say%20something%20is%20the%20lion%27s%20share%20if%20it%27s%20the%20biggest%20share%20or%20portion%20of%20something.",""]	["The%20lion%27s%20share%20of%20the%20government%27s%20budget%20goes%20to%20the%20military%2C%20when%20it%20could%20be%20spent%20on%20useful%20things%20like%20education%2C%20health%20care%20and%20looking%20after%20the%20environment.","The%20company%20executives%20decided%20to%20give%20the%20lion%27s%20share%20of%20the%20company%27s%20profits%20to%20themselves%2C%20in%20the%20form%20of%20very%20high%20salaries%2C%20huge%20bonuses%20and%20very%20generous%20expense%20accounts.%20Not%20much%20was%20left%20over%20for%20staff%20wages%20and%20the%20shareholders."]				animals,l	the lion's share
the middle of nowhere	["If%20a%20place%20is%20in%20the%20middle%20of%20nowhere%2C%20it%27s%20far%20from%20where%20most%20people%20live.",""]	["My%20car%20broke%20down%20in%20the%20middle%20of%20nowhere%2C%20and%20I%20had%20to%20wait%20for%20hours%20before%20a%20truck%20arrived%20to%20tow%20it%20to%20the%20nearest%20town.","Why%20do%20you%20want%20to%20go%20there%3F%20It%27s%20in%20the%20middle%20of%20nowhere%20and%20there%27ll%20be%20nothing%20to%20do%21"]				m	the middle of nowhere
the moment of truth	["The%20moment%20of%20truth%20is%20a%20time%20when%20the%20truth%20about%20something%20is%20revealed%2C%20or%20when%20an%20important%20decision%20is%20made.",""]	["We%27re%20getting%20our%20exam%20results%20today%20so%20the%20moment%20of%20truth%20is%20nearly%20here.","We%27ve%20been%20at%20the%20tennis%20tournament%20all%20weekend%2C%20and%20now%20we%27re%20watching%20the%20last%20game%20in%20the%20last%20match%2C%20so%20the%20moment%20of%20truth%20is%20here%20at%20last."]				m,time	the moment of truth
the movers and shakers	["You%20can%20say%20people%20are%20the%20movers%20and%20shakers%20in%20a%20place%20or%20a%20situation%20if%20they%20are%20the%20ones%20with%20the%20power%20to%20make%20decisions.",""]	["Most%20of%20the%20movers%20and%20shakers%20in%20the%20movie%20business%20live%20in%20Los%20Angeles.","If%20you%20want%20to%20be%20a%20literary%20agent%2C%20you%27ll%20need%20to%20know%20some%20of%20the%20movers%20and%20shakers%20in%20the%20publishing%20business."]				m	the movers and shakers
the name of the game	["You%20can%20say%20something%20is%20the%20name%20of%20the%20game%20if%20it%27s%20the%20most%20important%20thing%20you%20need%20to%20know%20or%20to%20have%20in%20order%20to%20succeed%20at%20something.",""]	["In%20long-distance%20running%2C%20the%20name%20of%20the%20game%20is%20stamina%20and%20fitness.%20No%20matter%20how%20hard%20you%20try%2C%20if%20you%20haven%27t%20trained%20hard%20and%20become%20extremely%20fit%2C%20you%20cannot%20win.","The%20name%20of%20the%20game%20in%20the%20fashion%20industry%20is%20knowing%20the%20right%20people.%20Even%20if%20you%20have%20the%20best%20designs%2C%20you%20won%27t%20succeed%20unless%20the%20people%20who%20matter%20see%20them."]				n,sports	the name of the game
the new kid on the block	["If%20you%20are%20the%20new%20kid%20on%20the%20block%2C%20you%20are%20the%20newest%20person%20in%20a%20workplace%20or%20in%20an%20educational%20institute%2C%20or%20any%20other%20place%20or%20organization.",""]	["Have%20you%20met%20Brigette%3F%20She%27s%20the%20new%20kid%20on%20the%20block%20-%20just%20started%20working%20here%20today.","Paula%20hates%20being%20the%20new%20kid%20on%20the%20block.%20She%20finds%20meeting%20lots%20of%20new%20people%20stressful%2C%20and%20she%20gets%20nervous%20when%20she%20thinks%20that%20everyone%20is%20looking%20at%20her%20and%20trying%20to%20decide%20if%20they%20like%20her."]				american,n,structures	the new kid on the block
